url,id
http://www.r-project.org/,fe1d4cc4e2software-0
http://www.cbs.dtu.dk/services/LipoP/,b7d4522ad0software-1
http://surfer.nmr.mgh.harvard.edu/,fb04291934software-0
http://www.r-project.org/,e3fda441aesoftware-0
http://www.jmulti.de/,e258d2e945software-0
www.cdc.gov/epiinfo/7,cd20eaf021software-0
http://genome.ucsc.edu,ee0c98a233software-0
http://www.ensembl.org,ee0c98a233software-1
http://rna.tbi.univie.ac.at/cgi-bin/RNAfold.cgi,ee0c98a233software-3
http://mirna.imbb.forth.gr/Mature-Bayes.html,ee0c98a233software-5
http://www.r-project.org/,c403eeadd9software-0
http://www.r-project.org/,c403eeadd9software-1
